Codigo;Nombre_x;Ciudad;Categoria;Activo;Vendedor;Barrio;DiaVisita;Latitud;Longitud;Nombre_y;Nombre
1000;TIENDA ÉRICA MARCELA;SAHAGUN;;1;101014.0;;;8.969.452;-7.502.981;;
1001;TIENDA EMILIA;SAHAGUN;;1;101014.0;;;8.936.401;-75.065.346;;
1002;TIENDA DULCERÍA EL MILAGRO;SAHAGUN;;1;101014.0;;;8.955.382;-75.048.222;;
1003;TIENDA CHECHO;SAHAGUN;;1;101014.0;;;8.927.272;-75.045.471;;
1004;TIENDA DAVO;SAHAGUN;;1;101014.0;SANTA LUCIA;;89.304.932;-754.426.526;TIENDA DAVO;
1005;PANADERÍA GENESIS;SAHAGUN;;1;101014.0;;;8.934.109;-75.037.104;;
1006;TIENDA LA COSTEÑA;SAHAGUN;;1;101014.0;VENECIA;;89.338.636;-754.487.204;TIENDA LA COSTEÑA;
1007;TIENDA CANDI SHOC;SAHAGUN;;1;101014.0;;;8.948.506;-75.060.987;;
1008;TIENDA EL ÉXITO;SAHAGUN;;1;101014.0;;;8.969.649;-75.031.473;;
1009;TIENDA JESUS REDENTOR;SAHAGUN;;1;101014.0;;;8.968.145;-75.025.489;;
2127;MI HERMANO Y YO ;;;1;101014.0;;;8.951.065;-75.024.136;;
2134;LA TIENDECITA;;;1;101014.0;;;8.925.595;-75.060.431;;
2135;EL DUQUE;;;1;101014.0;;;8.923.431;-75.053.963;;
2136;NORMA;;;1;101014.0;;;8.940.604;-75.056.663;;
2137;BENDICION HD;;;1;101014.0;;;8.962.607;-75.052.392;;
2140;COOPERATIVA LA NUEVA;;;1;101014.0;VENECIA;;89.380.411;-754.485.903;COOPERATIVA LA NUEVA;
2141;YAMPY;;;1;101014.0;;;8.928.216;-7.503.012;;
2142;TAMALANDIA;;;1;101014.0;;;8.924.898;-75.020.886;;
2143;M.A;;;1;101014.0;;;8.959.782;-75.060.294;;
2144;CASIQUE;;;1;101014.0;;;8.921.446;-75.029.457;;
2145;LA FLACA;;;1;101014.0;;;8.956.513;-7.503.378;;
2146;NUEVA VIDA;;;1;101014.0;;;8.959.734;-75.066.528;;
2147;LA FE;;;1;101014.0;;;8.939.093;-75.064.437;;
2148;DONDE ALEJO;;;1;101014.0;ISLAS DE CAPRI;;89.562.483;-754.550.692;DONDE ALEJO;
2149;LA BENDICION ;;;1;101014.0;EL PRADO;;89.413.671;-754.422.428;LA BENDICION;
